nik,section,sub_section,dedicated
10935,Finished goods,Admin Finished goods,1
10935,Finished goods,Checker SAP,0
10935,Finished goods,Picker,0
10937,Finished goods,Admin Finished goods,1
10937,Finished goods,Checker SAP,0
10937,Finished goods,Picker,0
10938,Inspeksi,Camera Offline,1
10938,Inspeksi,Meja,0
10938,Inspeksi,Shrink,0
10938,Inspeksi,Repallet,0
10938,Inspeksi,Pembuatan Partisi,0
10938,Inspeksi,Cleaning Pallet,0
10949,Inspeksi,Camera Offline,1
10949,Inspeksi,Penimbangan,0
10952,Delivery,Dispatcer,1
10952,Delivery,Loader,0
10954,Operator Forklift,Operator Forklift,1
10967,Inspeksi,Camera Offline,1
10967,Inspeksi,Meja,0
10967,Inspeksi,Shrink,0
10967,Inspeksi,Cluster,0
10967,Inspeksi,Stickering,0
10967,Inspeksi,Rework,0
10976,Inspeksi,Camera Offline,1
10976,Inspeksi,Meja,0
10976,Inspeksi,Shrink,0
10976,Inspeksi,Cluster,0
10976,Inspeksi,Stickering,0
10976,Inspeksi,Rework,0
10977,Inspeksi,Camera Offline,1
10977,Inspeksi,Meja,0
10977,Inspeksi,Shrink,0
10977,Inspeksi,Cluster,0
10977,Inspeksi,Stickering,0
10977,Inspeksi,Rework,0
10979,Inspeksi,Camera Offline,1
10979,Inspeksi,Meja,0
10979,Inspeksi,Shrink,0
10979,Inspeksi,Cluster,0
10979,Inspeksi,Stickering,0
10979,Inspeksi,Rework,0
10986,Inspeksi,Camera Offline,1
10986,Inspeksi,Meja,0
10986,Inspeksi,Shrink,0
10986,Inspeksi,Repallet,0
10986,Inspeksi,Pembuatan Partisi,0
10986,Inspeksi,Cleaning Pallet,0
10991,Loader,Loader,1
10992,Inspeksi,Camera Offline,1
10992,Inspeksi,Meja,0
10992,Inspeksi,Shrink,0
10992,Inspeksi,Repallet,0
10992,Inspeksi,Pembuatan Partisi,0
10992,Inspeksi,Cleaning Pallet,0
10993,Inspeksi,Camera Offline,1
10993,Inspeksi,Meja,0
10993,Inspeksi,Shrink,0
10993,Inspeksi,Cluster,0
10993,Inspeksi,Stickering,0
10993,Inspeksi,Rework,0
10997,Inspeksi,Camera Offline,1
10997,Inspeksi,Meja,0
10997,Inspeksi,Shrink,0
10997,Inspeksi,Cluster,0
10997,Inspeksi,Stickering,0
10997,Inspeksi,Rework,0
10999,Inspeksi,Camera Offline,1
10999,Inspeksi,Meja,0
10999,Inspeksi,Shrink,0
10999,Inspeksi,Cluster,0
10999,Inspeksi,Stickering,0
10999,Inspeksi,Rework,0
11001,Inspeksi,Camera Offline,1
11001,Inspeksi,Meja,0
